timestamp,BTC-PERP,ETH-PERP,SOL-PERP
1655316000,20782.0,1212.8,37.785
1655319600,20782.0,1212.8,37.785
1655323200,20782.0,1212.8,37.8
1655326800,20782.0,1212.8,37.8
1655330400,20782.0,1212.8,37.8
1655334000,20782.0,1212.8,37.8
1655337600,20782.0,1212.8,37.8
1655341200,20782.0,1212.8,37.8
1655344800,20782.0,1212.8,37.8
1655348400,20782.0,1212.8,37.8
1655352000,20782.0,1212.8,37.8
1655355600,20782.0,1212.8,37.8
1655359200,20782.0,1212.8,37.8025
1655362800,20782.0,1212.8,37.8025
1655366400,20782.0,1212.8,37.8025
1655370000,20782.0,1212.8,37.8075
1655373600,20782.0,1212.8,37.8075
1655377200,20783.0,1212.8,37.8075
1655380800,20783.0,1212.8,37.8075
1655384400,20783.0,1212.8,37.8075
1655388000,20783.0,1212.8,37.8075
1655391600,20783.0,1212.8,37.81
1655395200,20783.0,1212.8,37.81
1655398800,20783.0,1212.8,37.81
1655402400,20783.0,1212.8,37.81
1655406000,20783.0,1212.8,37.81
1655409600,20783.0,1212.8,37.81
1655413200,20783.0,1212.8,37.81
1655416800,20783.0,1212.8,37.81
1655420400,20783.0,1212.8,37.81
1655424000,20782.0,1212.8,37.81
1655427600,20782.0,1212.9,37.81
1655431200,20782.0,1212.9,37.81
1655434800,20782.0,1212.9,37.81
1655438400,20782.0,1212.9,37.81
1655442000,20782.0,1212.9,37.81
1655445600,20782.0,1212.9,37.81
1655449200,20783.0,1212.9,37.81
1655452800,20783.0,1212.9,37.8075
1655456400,20783.0,1212.9,37.8075
1655460000,20783.0,1212.9,37.8075
1655463600,20783.0,1213.0,37.81
1655467200,20783.0,1213.0,37.81
1655470800,20783.0,1213.1,37.81
1655474400,20783.0,1213.1,37.81
1655478000,20783.0,1213.1,37.81
1655481600,20783.0,1213.1,37.81
1655485200,20783.0,1213.1,37.81
1655488800,20783.0,1213.1,37.81
1655492400,20783.0,1213.1,37.81
1655496000,20783.0,1213.1,37.81
1655499600,20783.0,1213.1,37.805
1655503200,20783.0,1213.1,37.805
1655506800,20783.0,1213.1,37.8
1655510400,20783.0,1213.1,37.8
1655514000,20783.0,1213.1,37.8
1655517600,20783.0,1213.1,37.8
1655521200,20783.0,1213.1,37.8
1655524800,20782.0,1213.1,37.8
1655528400,20782.0,1213.0,37.8
1655532000,20782.0,1213.0,37.8
1655535600,20782.0,1213.0,37.8
1655539200,20782.0,1213.0,37.8
1655542800,20783.0,1213.2,37.8
1655546400,20783.0,1213.2,37.8
1655550000,20783.0,1213.2,37.8
1655553600,20783.0,1213.3,37.8
1655557200,20783.0,1213.3,37.8
1655560800,20783.0,1213.3,37.8
1655564400,20783.0,1213.3,37.8
1655568000,20783.0,1213.3,37.8
1655571600,20783.0,1213.3,37.8
1655575200,20783.0,1213.3,37.8
1655578800,20783.0,1213.3,37.8
1655582400,20783.0,1213.3,37.8
1655586000,20783.0,1213.3,37.8
1655589600,20782.0,1213.3,37.8
1655593200,20782.0,1213.3,37.8
1655596800,20782.0,1213.3,37.7975
1655600400,20782.0,1213.3,37.7975
1655604000,20782.0,1213.3,37.7975
1655607600,20782.0,1213.3,37.7975
1655611200,20782.0,1213.3,37.7975
1655614800,20782.0,1213.3,37.7975
1655618400,20782.0,1213.3,37.7975
1655622000,20782.0,1213.3,37.7975
1655625600,20782.0,1213.3,37.7975
1655629200,20782.0,1213.3,37.7975
1655632800,20782.0,1213.3,37.7975
1655636400,20782.0,1213.3,37.7975
1655640000,20782.0,1213.3,37.7975
1655643600,20782.0,1213.2,37.7975
1655647200,20782.0,1213.2,37.7975
1655650800,20782.0,1213.2,37.7975
1655654400,20782.0,1213.2,37.7975
1655658000,20782.0,1213.2,37.7975
1655661600,20782.0,1213.2,37.7975
1655665200,20782.0,1213.2,37.7975
1655668800,20782.0,1213.2,37.7975
1655672400,20782.0,1213.2,37.7975
1655676000,20782.0,1213.2,37.7975
1655679600,20782.0,1213.2,37.7975
1655683200,20782.0,1213.2,37.7975
